Document;xPath;Element;Name;Cardinality;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cbc:TrackingID;cbc:TrackingID;Delivery tracking identifier;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:EstimatedDeliveryPeriod;cac:EstimatedDeliveryPeriod;Estimated delivery period;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:EstimatedDeliveryPeriod/cbc:StartDate;cbc:StartDate;Period start date;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:EstimatedDeliveryPeriod/cbc:StartTime;cbc:StartTime;Period start time;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:EstimatedDeliveryPeriod/cbc:EndDate;cbc:EndDate;Period end date;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:EstimatedDeliveryPeriod/cbc:EndTime;cbc:EndTime;Period end time;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch;cac:Despatch;Actual or expected despatch period;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cbc:ActualDespatchDate;cbc:ActualDespatchDate;Shipment dispatch date;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cbc:ActualDespatchTime;cbc:ActualDespatchTime;Shipment dispatch time;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress;cac:DespatchAddress;Despatch address;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cbc:ID;cbc:ID;Identifier;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cbc:StreetName;cbc:StreetName;Address line 1;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cbc:AdditionalStreetName;cbc:AdditionalStreetName;Address line 2;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cbc:CityName;cbc:CityName;City;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cbc:PostalZone;cbc:PostalZone;Post code;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cbc:CountrySubentity;cbc:CountrySubentity;Country subdivision;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cac:AddressLine;cac:AddressLine;Address Line;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cac:AddressLine/cbc:Line;cbc:Line;Address line 3;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cac:Country;cac:Country;Country;0..1;
ubl:DespatchAdvice;/cac:Shipment/cac:Delivery/cac:Despatch/cac:DespatchAddress/cac:Country/cbc:IdentificationCode;cbc:IdentificationCode;Country code;1..1;
ubl:DespatchAdvice;/cac:DespatchLine;cac:DespatchLine;Despatch advice line;1..n;
ubl:DespatchAdvice;/cac:DespatchLine/cbc:ID;cbc:ID;Dispatch line identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cbc:Note;cbc:Note;Dispatch line note;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cbc:DeliveredQuantity;cbc:DeliveredQuantity;Delivererd quantity;0..1;
